Naïve,Activation:Effector function,Exhaustion,TCR Signaling,Cytotoxicity,Cytokine/Cytokine receptor,Chemokine/Chemokine receptor,Senescence,Anergy,NFKB Signaling,Stress response,MAPK Signaling,Adhesion,IFN Response,Oxidative phosphorylation,Glycolysis,Fatty acid metabolism,Pro-apoptosis,Anti-apoptosis
,,,,,,,,,,HSPA5,,,,,,,,
,,,,,,,,,,HSPA6,,,,,,,,
,,,,,,,,,,BAG3,,,,,,,,
,,,,,,,,,,DYNLL1,,,,,,,,
,,,,,,,,,,HSPA8,,,,,,,,
,,,,,,,,,,RB1CC1,,,,,,,,
,,,,,,,,,,BAG5,,,,,,,,
,,,,,,,,,,ANAPC5,,,,,,,,
,,,,,,,,,,DYNLL2,,,,,,,,
,,,,,,,,,,VCP,,,,,,,,
,,,,,,,,,,DNAJC2,,,,,,,,
,,,,,,,,,,CABIN1,,,,,,,,
,,,,,,,,,,CEBPB,,,,,,,,
