,p_val,avg_log2FC,pct.1,pct.2,pct.diff,p_val_adj,cluster,gene
EIF4EBP1,0,0.507537297,0.487,0.141,0.346,0,Macrophages,EIF4EBP1
PTMS,0,0.507290109,0.481,0.144,0.337,0,Macrophages,PTMS
TFRC,0,0.505662106,0.388,0.107,0.281,0,Macrophages,TFRC
ENG,0,0.505570202,0.398,0.06,0.338,0,Macrophages,ENG
ZFAND5,0,0.505389809,0.597,0.266,0.331,0,Macrophages,ZFAND5
SOD2,0,0.503098103,0.659,0.297,0.362,0,Macrophages,SOD2
IER3,0,0.503036331,0.539,0.222,0.317,0,Macrophages,IER3
TREM1,0,0.501555655,0.398,0.08,0.318,0,Macrophages,TREM1
COMT,0,0.500087971,0.54,0.212,0.328,0,Macrophages,COMT
AKR1B1,0,0.498260152,0.471,0.164,0.307,0,Macrophages,AKR1B1
ZNF385A,0,0.497267447,0.381,0.068,0.313,0,Macrophages,ZNF385A
VEGFA,0,0.496769029,0.366,0.086,0.28,0,Macrophages,VEGFA
RASSF4,0,0.493023516,0.392,0.081,0.311,0,Macrophages,RASSF4
HLA-DQA2,0,0.493007774,0.376,0.15,0.226,0,Macrophages,HLA-DQA2
CD59,0,0.492759406,0.532,0.202,0.33,0,Macrophages,CD59
ATP6AP2,0,0.492150829,0.645,0.334,0.311,0,Macrophages,ATP6AP2
COLEC12,0,0.488737185,0.259,0.006,0.253,0,Macrophages,COLEC12
P4HA1,0,0.488496001,0.396,0.095,0.301,0,Macrophages,P4HA1
HSP90B1,0,0.488331263,0.719,0.418,0.301,0,Macrophages,HSP90B1
BNIP3L,0,0.488302316,0.575,0.234,0.341,0,Macrophages,BNIP3L
HAVCR2,0,0.486768085,0.509,0.151,0.358,0,Macrophages,HAVCR2
TUBA1B,0,0.486584256,0.756,0.477,0.279,0,Macrophages,TUBA1B
ALOX5AP,0,0.486264983,0.747,0.508,0.239,0,Macrophages,ALOX5AP
TMEM51,0,0.48378112,0.342,0.022,0.32,0,Macrophages,TMEM51
TGM2,0,0.483027922,0.284,0.036,0.248,0,Macrophages,TGM2
KLF4,0,0.482499546,0.383,0.096,0.287,0,Macrophages,KLF4
UPP1,0,0.479613253,0.546,0.229,0.317,0,Macrophages,UPP1
TUBA1C,0,0.477246907,0.438,0.131,0.307,0,Macrophages,TUBA1C
AKR1A1,0,0.476254395,0.526,0.211,0.315,0,Macrophages,AKR1A1
TSPAN4,0,0.475599356,0.361,0.057,0.304,0,Macrophages,TSPAN4
RHOB,0,0.474366524,0.457,0.151,0.306,0,Macrophages,RHOB
LY86,0,0.474303533,0.483,0.146,0.337,0,Macrophages,LY86
QKI,0,0.474126356,0.496,0.172,0.324,0,Macrophages,QKI
LRPAP1,0,0.473695244,0.557,0.273,0.284,0,Macrophages,LRPAP1
RETN,0,0.472347089,0.25,0.051,0.199,0,Macrophages,RETN
ZEB2,0,0.4720521,0.603,0.24,0.363,0,Macrophages,ZEB2
SERPING1,0,0.471819365,0.341,0.054,0.287,0,Macrophages,SERPING1
TCEAL9,0,0.471547968,0.341,0.036,0.305,0,Macrophages,TCEAL9
LGALS9,0,0.46841079,0.513,0.176,0.337,0,Macrophages,LGALS9
NCF2,0,0.468350005,0.529,0.158,0.371,0,Macrophages,NCF2
SMS,0,0.467457464,0.523,0.196,0.327,0,Macrophages,SMS
GNB4,0,0.46723878,0.382,0.056,0.326,0,Macrophages,GNB4
CSTA,0,0.467106399,0.528,0.14,0.388,0,Macrophages,CSTA
POMP,0,0.465738319,0.781,0.491,0.29,0,Macrophages,POMP
CD83,0,0.465221555,0.418,0.143,0.275,0,Macrophages,CD83
FTH1,0,0.462614668,0.999,0.984,0.015,0,Macrophages,FTH1
LST1,0,0.461374991,0.72,0.292,0.428,0,Macrophages,LST1
HBEGF,0,0.454740954,0.314,0.061,0.253,0,Macrophages,HBEGF
SLAMF8,0,0.453221871,0.327,0.028,0.299,0,Macrophages,SLAMF8
ATF3,0,0.450414536,0.34,0.084,0.256,0,Macrophages,ATF3
RTN4,0,0.449839927,0.707,0.385,0.322,0,Macrophages,RTN4
ABHD12,0,0.448970306,0.393,0.076,0.317,0,Macrophages,ABHD12
CALR,0,0.448940825,0.736,0.469,0.267,0,Macrophages,CALR
GCHFR,0,0.448503882,0.4,0.174,0.226,0,Macrophages,GCHFR
ATP6V0C,0,0.447238179,0.46,0.247,0.213,0,Macrophages,ATP6V0C
TXN,0,0.443726685,0.762,0.499,0.263,0,Macrophages,TXN
RGS1,0,0.443422667,0.679,0.408,0.271,0,Macrophages,RGS1
P4HB,0,0.442154381,0.628,0.333,0.295,0,Macrophages,P4HB
C1orf54,0,0.43986663,0.321,0.035,0.286,0,Macrophages,C1orf54
SLC43A3,0,0.439260405,0.348,0.063,0.285,0,Macrophages,SLC43A3
MPP1,0,0.439080995,0.427,0.101,0.326,0,Macrophages,MPP1
SYNGR2,0,0.439038348,0.593,0.264,0.329,0,Macrophages,SYNGR2
NRP2,0,0.438946343,0.292,0.017,0.275,0,Macrophages,NRP2
RHEB,0,0.438725152,0.577,0.261,0.316,0,Macrophages,RHEB
F13A1,0,0.438472309,0.229,0.04,0.189,0,Macrophages,F13A1
CEBPD,0,0.438300595,0.625,0.265,0.36,0,Macrophages,CEBPD
HIF1A,0,0.435624623,0.557,0.273,0.284,0,Macrophages,HIF1A
ITGB2,0,0.435008521,0.8,0.51,0.29,0,Macrophages,ITGB2
C2,0,0.434604532,0.246,0.011,0.235,0,Macrophages,C2
RALA,0,0.434450883,0.439,0.155,0.284,0,Macrophages,RALA
HK2,0,0.43315545,0.287,0.052,0.235,0,Macrophages,HK2
VMO1,0,0.433128704,0.263,0.021,0.242,0,Macrophages,VMO1
HSPA1A,0,0.43289461,0.639,0.372,0.267,0,Macrophages,HSPA1A
OTOA,0,0.43011704,0.249,0.004,0.245,0,Macrophages,OTOA
MAF,0,0.429832294,0.386,0.121,0.265,0,Macrophages,MAF
PEA15,0,0.429018568,0.402,0.105,0.297,0,Macrophages,PEA15
IL1RN,0,0.42828655,0.27,0.07,0.2,0,Macrophages,IL1RN
GPX3,0,0.428096415,0.282,0.024,0.258,0,Macrophages,GPX3
COLGALT1,0,0.427208554,0.364,0.077,0.287,0,Macrophages,COLGALT1
CD4,0,0.426393211,0.467,0.169,0.298,0,Macrophages,CD4
LMNA,0,0.42558371,0.415,0.135,0.28,0,Macrophages,LMNA
ERO1A,0,0.424430994,0.413,0.159,0.254,0,Macrophages,ERO1A
YBX3,0,0.424353295,0.449,0.141,0.308,0,Macrophages,YBX3
SNX10,0,0.423898799,0.511,0.193,0.318,0,Macrophages,SNX10
LPAR6,0,0.423603433,0.387,0.115,0.272,0,Macrophages,LPAR6
BCAP31,0,0.423269708,0.614,0.338,0.276,0,Macrophages,BCAP31
SLC31A2,0,0.420615199,0.412,0.087,0.325,0,Macrophages,SLC31A2
METRNL,0,0.420574136,0.428,0.152,0.276,0,Macrophages,METRNL
DNASE2,0,0.419862286,0.414,0.119,0.295,0,Macrophages,DNASE2
VKORC1,0,0.419435088,0.482,0.174,0.308,0,Macrophages,VKORC1
BCL2A1,0,0.417976311,0.506,0.221,0.285,0,Macrophages,BCL2A1
EPB41L3,0,0.416572405,0.317,0.041,0.276,0,Macrophages,EPB41L3
VAMP8,0,0.415922435,0.784,0.56,0.224,0,Macrophages,VAMP8
RAB1A,0,0.415678457,0.533,0.212,0.321,0,Macrophages,RAB1A
MT1X,0,0.415135141,0.437,0.236,0.201,0,Macrophages,MT1X
FNDC3B,0,0.414897191,0.409,0.107,0.302,0,Macrophages,FNDC3B
LTA4H,0,0.413624487,0.454,0.185,0.269,0,Macrophages,LTA4H
NEAT1,0,0.412266936,0.958,0.746,0.212,0,Macrophages,NEAT1
RPS27L,0,0.411998928,0.792,0.517,0.275,0,Macrophages,RPS27L
AXL,0,0.409598085,0.268,0.028,0.24,0,Macrophages,AXL
MFSD12,0,0.406998847,0.327,0.068,0.259,0,Macrophages,MFSD12
TPI1,0,0.403596924,0.788,0.567,0.221,0,Macrophages,TPI1
TNFSF13,0,0.403099632,0.277,0.043,0.234,0,Macrophages,TNFSF13
VIM,0,0.40157136,0.949,0.785,0.164,0,Macrophages,VIM
INHBA,0,0.400744637,0.158,0.009,0.149,0,Macrophages,INHBA
CNDP2,0,0.40014889,0.483,0.192,0.291,0,Macrophages,CNDP2
IL13RA1,0,0.397724214,0.421,0.11,0.311,0,Macrophages,IL13RA1
LAPTM4A,0,0.396633989,0.666,0.358,0.308,0,Macrophages,LAPTM4A
HSBP1,0,0.396325644,0.616,0.294,0.322,0,Macrophages,HSBP1
ISG15,0,0.395105385,0.541,0.34,0.201,0,Macrophages,ISG15
KCNMA1,0,0.394746783,0.255,0.008,0.247,0,Macrophages,KCNMA1
CEP170,0,0.394616536,0.369,0.103,0.266,0,Macrophages,CEP170
ABCG1,0,0.394310529,0.348,0.078,0.27,0,Macrophages,ABCG1
CTNNB1,0,0.393999147,0.529,0.251,0.278,0,Macrophages,CTNNB1
TFEC,0,0.393267038,0.328,0.047,0.281,0,Macrophages,TFEC
IL18,0,0.393211745,0.375,0.1,0.275,0,Macrophages,IL18
LPL,0,0.392202744,0.194,0.006,0.188,0,Macrophages,LPL
LACTB,0,0.391770741,0.407,0.123,0.284,0,Macrophages,LACTB
CD151,0,0.390691002,0.411,0.121,0.29,0,Macrophages,CD151
CSF2RA,0,0.390041713,0.387,0.093,0.294,0,Macrophages,CSF2RA
MCOLN1,0,0.389498146,0.335,0.066,0.269,0,Macrophages,MCOLN1
PLEKHB2,0,0.389406275,0.462,0.178,0.284,0,Macrophages,PLEKHB2
RBM47,0,0.388757274,0.407,0.102,0.305,0,Macrophages,RBM47
ARL6IP1,0,0.388496557,0.643,0.347,0.296,0,Macrophages,ARL6IP1
MGST2,0,0.388215149,0.405,0.11,0.295,0,Macrophages,MGST2
APOC2,0,0.387555311,0.17,0.017,0.153,0,Macrophages,APOC2
LAP3,0,0.386856624,0.45,0.175,0.275,0,Macrophages,LAP3
NCEH1,0,0.386621826,0.289,0.03,0.259,0,Macrophages,NCEH1
AP1B1,0,0.386009174,0.347,0.099,0.248,0,Macrophages,AP1B1
FCHO2,0,0.385470987,0.285,0.041,0.244,0,Macrophages,FCHO2
MYDGF,0,0.384312936,0.535,0.263,0.272,0,Macrophages,MYDGF
CTNNA1,0,0.384128366,0.405,0.112,0.293,0,Macrophages,CTNNA1
CCR1,0,0.382960671,0.361,0.084,0.277,0,Macrophages,CCR1
CHCHD10,0,0.382173086,0.598,0.336,0.262,0,Macrophages,CHCHD10
FAM20C,0,0.382100495,0.259,0.022,0.237,0,Macrophages,FAM20C
NOP10,0,0.38206814,0.719,0.475,0.244,0,Macrophages,NOP10
